from,to,const,,,,,,,,,,,,
% Hybrid vehicles (GWh / thousand cars),,,,,,,,,,,,,,
kkARTX,DD10,8.45E-08,,,,,,,,,,,,
kkAZCA,DD12,8.45E-08,,,,,,,,,,,,
kkAZCA,DD13,8.45E-08,,,,,,,,,,,,
kkAZNM,DD12,0.000000169,,,,,,,,,,,,
kkAZNV,DD11,8.45E-08,,,,,,,,,,,,
kkAZNV,DD12,8.45E-08,,,,,,,,,,,,
kkAZUT,DD11,8.45E-08,,,,,,,,,,,,
kkAZUT,DD12,8.45E-08,,,,,,,,,,,,
kkCANV,DD11,8.45E-08,,,,,,,,,,,,
kkCANV,DD13,8.45E-08,,,,,,,,,,,,
kkCAOR,DD11,8.45E-08,,,,,,,,,,,,
kkCAOR,DD13,8.45E-08,,,,,,,,,,,,
kkCOKS,DD10,8.45E-08,,,,,,,,,,,,
kkCOKS,DD12,8.45E-08,,,,,,,,,,,,
kkCONE,DD05,8.45E-08,,,,,,,,,,,,
kkCONE,DD12,8.45E-08,,,,,,,,,,,,
kkCONM,DD12,0.000000169,,,,,,,,,,,,
kkCOUT,DD11,8.45E-08,,,,,,,,,,,,
kkCOUT,DD12,8.45E-08,,,,,,,,,,,,
kkCOWY,DD12,0.000000169,,,,,,,,,,,,
kkCTMA,DD07,0.000000169,,,,,,,,,,,,
kkCTNY,DD06,8.45E-08,,,,,,,,,,,,
kkCTNY,DD07,8.45E-08,,,,,,,,,,,,
kkCTRI,DD07,0.000000169,,,,,,,,,,,,
kkDEMD,DD01,8.45E-08,,,,,,,,,,,,
kkDEMD,DD03,8.45E-08,,,,,,,,,,,,
kkDENJ,DD03,0.000000169,,,,,,,,,,,,
kkDEPA,DD03,0.000000169,,,,,,,,,,,,
kkFLGA,DD08,8.45E-08,,,,,,,,,,,,
kkFLGA,DD09,8.45E-08,,,,,,,,,,,,
kkGASC,DD09,0.000000169,,,,,,,,,,,,
kkGATN,DD09,0.000000169,,,,,,,,,,,,
kkIAIL,DD04,8.45E-08,,,,,,,,,,,,
kkIAIL,DD05,8.45E-08,,,,,,,,,,,,
kkIAMN,DD05,0.000000169,,,,,,,,,,,,
kkIAMO,DD05,8.45E-08,,,,,,,,,,,,
kkIAMO,DD10,8.45E-08,,,,,,,,,,,,
kkIANE,DD05,8.45E-08,,,,,,,,,,,,
kkIASD,DD05,0.000000169,,,,,,,,,,,,
kkIAWI,DD04,8.45E-08,,,,,,,,,,,,
kkIAWI,DD05,8.45E-08,,,,,,,,,,,,
kkIDMT,DD11,0.000000169,,,,,,,,,,,,
kkIDOR,DD11,0.000000169,,,,,,,,,,,,
