from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
NSCO,NTCO,45.33254167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSIL,NTIL,255.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSIN,NTIN,32.52720833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSIA,NTIA,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSKS,NTKS,100.732125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSKY,NTKY,79.50979167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSLA,NTLA,347.506875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMD,NTMD,16.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMI,NTMI,724.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMN,NTMN,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMS,NTMS,222.80725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMO,NTMO,14.58333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMT,NTMT,12.90895833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSNE,NTNE,7.041666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSNM,NTNM,14.58333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSNY,NTNY,75.49941667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSOH,NTOH,203.2104167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSOK,NTOK,156.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSOR,NTOR,21.45833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSPA,NTPA,357.173125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSTN,NTTN,0.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSTX,NTTX,539.6562083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSUT,NTUT,21.95833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSVA,NTVA,13.54166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSWA,NTWA,47.91666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSWV,NTWV,159.9369583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSWY,NTWY,12.568125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"% Natural gas storage, injection capacity (MMcf / h)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAL,NSAL,33.33333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAR,NSAR,4.802083334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCA,NSCA,143.2291667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
